Name,Stars,Rewatch,Review
caitlyyn,★★★★½,Watched,First 30mins was kinda boring and then i was just crying
ccaramel,★★★★★,Watched,i watched it during class idk man
soulmatejeno,★★★★½,Watched,chorei muito e cogitei fazer astrofísica em um intervalo de 3h da minha vida
issytheslugg2,★★★★★,Watched,moviest movie to ever movie & i loved every second of it
molaina,★★★★★,Watched,what can i possibly say
ireneeez,★★★★★,Watched,"Madre mía.Nunca había llorado tanto en una película, y sobre todo, no tengo palabras para describirla (literalmente). Pero si la tuviese que describir, sería con una palabra: BELLA, la belleza del amor, de la humanidad, el espacio, la muerte, la familia, la...vida. Es impresionante el trabajo de este gran director.Gracias, Christopher Nolan por esta hermosa película."
ilovenines,★★★★★,Watched,sloppy crying and boogers shooting out from my nose
fwrail,★★★★★,Watched,i regret not watching this sooner
m3gn,★★★★★,Watched,i dont even have words
isyoj,No rating,Watched,"i gave it a rewatch after a couple of years and a couple more films. and i’m feeling different about it now. i felt, as i often do in Nolan’s work, very well guided through the film but felt no room for interpretation.there’s a very vivid feeling i feel when watching a good film, one that makes life worth living, and i can best describe it as feeling safe in the hands of a good maker. there’s no denying…"
zecobs,★★★★★,Watched,"Esse filme elevou o sci-fi a outro nível. Durante o filme todo tem um mix de sentimentos, de um extremo ao outro. Esse filme dá uma aula de como misturar histórias de pegadas diferentes e conseguir encaixar uma na outra de uma forma incrível. Sua trilha sonora é uma das mais bem feitas da história do cinema. Esse filme dá uma aula de CGI em produções milionárias de hoje em dia. Não há nenhum defeito nesse filme."
noah6479,★★★★★,Watched,Fjernede ikke øjnene fra skærmen på noget tidspunkt
mohamed86095284,No rating,Watched,فيلم قابل للمشاهده اكثر من مره ومفهوش مشهد واحد ممل+ اجمد فيلم شوفته ل كريستوفر نولان
mrmachiavelli,No rating,Watched,the first half isn’t as good as I remember :(
chrysa_lism_,★★★★★,Watched,I haven't cried this much since dead poets society
berninige,★★★★★,Watched,"We used to look up at the sky and wonder at our place in the stars. I love this movie, its really less about space and more about the human spirit and what space used to and still does mean to that."
abbyxg4,★★★★★,Watched,the first time i watched this i didn’t like it but when i rewatched OH MY GODD it’s amazing like wtf nearly cried at the watch scene and i don’t cry at movies
jepser,★★★★,Watched,Nolanfilmer hadde vært bedre om de ikke snakka
allah321111,★★★★,Watched,@RiRiDiamond @GMSatoshi @DeutscheMorowitz great work hotties u run the NIH now (HQ UNC-Duke-NCState)
thecriticego,★★★★★,Watched,"This movie is also one for the books! From Hans Zimmers magic as a composer to the acting of all of them. This is one of those movies that will stick with you if you allow yourself to be patient, it is a slow burner of a film but boy how it’s worth it in the end. It really is a pivotal movie for the industry! Maybe I’m biased because I’m so into space vibes but I will defend that!!"
derejet,★★★★,Watched,Wittally among us n orange is the imposter
topr4k,★★★★★,Watched,baydırıcı derecede astronomik genç ergenler için bence ağır ancak mathew abiciğim yine döktürmüş
schroederr,★★★★★,Watched,This movie has so much math and confusing stuff and yet some how I understood everything that happend. Also this movie sad af.
jackdowling,★★★★,Watched,"I love science fiction, I love the idea.But there are just so many plot holes and ""what even is this"" that I get taken out.Great movie otherwise."
newera94,★★★★★,Watched,i stopped believing in God because of this movie
lunocas,★★★★★,Watched,"this was the best experience I have ever had. I wish I could have seen it in the cinemaomg, this was breathtaking, chef kiss, absolute cinema, bangerWHY DID I HAD TO LIVE 10 FUCKING YEARS WITHOUT SEEN THIS MOVIEI swear to god, this was a masterpiece, the acting, the visuals, THE STORY!!!!! THIS MOVIE IS JUST WONDERFUL IN EVERY ASPECTThe plot twist... im gonna kill myself""well, today is my birthday... and Im turning the age…"
s0raya1in,★★★★½,Watched,jaw AND tears dropped
franpotop,★★★★★,Watched,"Mi cabeza EXPLOTÓ, pero me encantó..."
ddarrigo12,★★★★★,Watched,Solid film
marika__,★★★★★,Watched,Il danno morale è normalmente definito dalla giurisprudenza come “l'ingiusto turbamento dello stato d'animo del danneggiato o anche nel patema d'animo o stato d'angoscia transeunte generato dall'illecito” (Cass. n. 10393/2002).Vaffanculo quante lacrime
albertiv,★★★★½,Watched,Still good as hell broh! We’re gonna need a new danm planet here pretty soon
cordle,★★★★,Watched,what the freak
m4thild3c,★★★★,Watched,j’ai rien capté à la moitié du film il faut que je le reregarde mais banger
killert_77,★★★★★,Watched,This is still the best Christopher Nolan movie
nandaxsily,★★★★★,Watched,parece a tela de início de computador
augustchardonay,★★★½,Watched,They really did just forget about the son lmfao
gabrielpime,★★★★★,Watched,MASTERPIECE
sallychesters,★★★★★,Watched,ONE OF THE BEST FILMS EVERRR
kermodebearr,★★★★½,Watched,"this movie has so many haters, that means its doing something right. i was on the verge of tears for like an hour of this movie."
shayr,★★★★★,Watched,"Yet again, proves to be my favorite film of all time. Genuinely had me screwed up at 4 in the morning. 10th rewatch btw."
paytonadams,★★★★★,Watched,One of my new favorite movies easily. This movie is straight perfection. I can’t even fathom how talented Christopher Nolan is. I can’t get all my thoughts out in this review. I could talk about it for hours. Here are some thoughts tho:- perfect casting- perfect flow and organization of this movie- shots are excellent- dialogue is perfection- music composition and score perfection- suspense and emotion perfection (I was basically crying the whole movie)…
xotrizah,★★★★★,Watched,I watched this for the first time today at work and I was fighting back tears 😭 Nolan you really ate with this!!! What a masterpiece wow. The fucking cinematography? I’m impressed. Pretty sure this is going to be at the top of my best movies to ever exist list.
annalauraa_,★★★★★,Watched,la mia anima è distrutta dopo questo film
shivadotjpg,No rating,Watched,"this was such a slog I was shifting in my seat for two hours my gut says one star but my brain says ""it couldn't have been thaaat baaad"""
connormcb,★★★★★,Watched,Nolans best
mrasskiss,★★★★½,Watched,Crazy how not a lot of people talk about this move Much
adelgrand,★★★★½,Watched,Incredible film!- Stunning Cinematography- Really good story- Space is cool!
kingtimmyy,★★★★★,Watched,whoever cut anne hathaways bangs needs to be shot in the head. MUZZLE TO TEMPLE!
laylaamber,★★★★★,Watched,absolutemasterpiece
maiacln,★★★★★,Watched,J’ai pensé que c’était le meilleur film de ma vie sur le moment.
heizenberf,★★★★★,Watched,DON’T LEAVE ME MURPHHHH
shinejou,★,Watched,Meh
lior_am,★★★½,Watched,"וואו איזה סרט ראיתי עכשיו אחד הסרטים הטוביםאני כל כך פחדתי שהוא יחזור והבת שלו לא תיהיה בחיים😭, אבל איזה מזל שכן וואו פשוט מטורף"
ssbjeff,★★★★½,Watched,Brilliant. Beautiful. Breathtaking.It’s an emotional and brain warping film. The acting is wonderfully done. The score is outstanding. One of Nolan’s best.
grey_days,★★★★★,Watched,The wall robots scared me
zizou212,★★★★★,Watched,"T’as envie de devenir physicien après avoir vu le film. Bonne balance de beaucoup d’éléments de science et de l’irrationalité humaine. De très belles images et les moments de silences dans l’espace font très bien leur effet. Aucun moment de platitude. J’ai soufflé au début quand j’ai vu le film faisait 2h49min mais le temps est relatif. Je sais pas si c’est un classique, mais si s’en est un c’est mérité. 10/10"
armonica69,★★★★★,Watched,"Parfait !Tout est réfléchi, bien fait ! J’éprouve personnellement à regarder ce film pour ces émotions puissantes et sa tram qui est géniale !Si vous ne l’avez pas vu, foncez !!"
willy_amber,★★★★½,Watched,HES IN THE GODDAMN WALLS
quinhopera,★★★½,Watched,Último quarto do filme salva.
eschay,★★★★½,Watched,"Second time around, with a childhood friend who was super into physics. I adamantly recommended this to him 4 years ago, he finally got around to it and loved it.Still super impressed by the visuals, cinematography, and scientific implications. I only realized this time around two things: 1) just how much the tesseract in this movie influences the way I view life, especially being a Christian 2) the essence of humanity that Nolan also captures, which is somewhat overshadowed the first time around by the science and everything else"
seanberry17,★★★★★,Watched,*cums loudly*
catelstorey,★★★★★,Watched,"Mad film! Proper confusing tho at the end, had to get my friend to explain 4th dimensions to me"
erinofori,★★★★★,Watched,not me crying even more on the second watch
jordantolbert18,★★★★★,Watched,It’s almost a necessity to force people who haven’t seen this movie to sit down and watch it and it’s always so rewarding.
joshturner1010,★★★★★,Watched,one of the best
sergiocc99,★★★★★,Watched,Joya y orgasmo visual y sonoro
jakeplongstreth,★★★★,Watched,"This review may contain spoilers.I can handle the truth.My wife: “Matt Damon, what are you doing?!”"
e_vac,★★★★★,Watched,Dune Part 2 might be my new favorite sci-fi movie but this is still a close second
flateby,★★★★,Watched,very male yet suprisingly good
molly_forsell,★★★★,Watched,"The only con in this movie was the length. And if it is a really good movie you don’t notice that it’s long which just gave me no choice to give it a 4…But; it was a great movie. Me, who don’t often like movies about space, liked this one but I wouldn’t see it again."
cln_slvn,★★★★★,Watched,With my sister Kylie
cln_slvn,★★★★★,Watched,With my brother Bolin (Alex)
cln_slvn,★★★★★,Watched,With Dad
brianmarx,★★★★★,Watched,an epic truly remarkable
mikey_mike_mike,★★★★★,Watched,This could be the best movie of all time.Christopher Nolan strikes again.
zachspudbud,★★★★½,Watched,What do you think TARs horniness setting is?
zitii,★½,Watched,What wanted cooper when it was like to send massage to her doughter whenthe past alived him doesn't care for her daughter.?! And in the end whennher daughter was old SHE comes to saturn and and he wanted to send him out from the room bcs she doesn't want to see her dad see how she's die! Why doesn't wanted to be hawe all the time with each other in her last mins??? The whole film hasn't got an accident🙄
zitii,★½,Watched,It was horrible like when you turn it on the other side it comes out an idiot paradoxon?! What
roy_3,★★★★½,Watched,"The alien when the 6-foot, 195 pound human with half a arm and a brain spilling out claws their face off (they thought the indomitable human spirit was fake)least convoluted Nolan film. super incredible and heartwarming tho."
itzzkaam,★★★★,Watched,la vi para un deber xd peeero me gustooo aunque no la vería de nuevo
tommygrant,★★★★½,Watched,Second time watching this film and it was just as amazing the second time around. The visuals and suspense throughout the film are incredible and Matthew McConaughey’s performance was well worth watching!Overall one of Nolan’s best films!
dayvyd_cardoso,★★★★★,Watched,"This review may contain spoilers.I can handle the truth.""Interstellar"",directed byChristopher Nolan, is a masterpiece that combines science fiction with deep philosophical and emotional questions. Set in a future where Earth is on the brink of collapse, former pilot Cooper (Matthew McConaughey) leads a mission to find a new home for humanity. With stunning visual effects based on real scientific theories, notable performances from the cast, and an epic soundtrack by Hans Zimmer, the film balances visual spectacle with a rich and emotional narrative. ""Interstellar"" is a philosophical exploration of survival, our place in the universe, and the nature of love, inspiring and provoking reflection."
callisto111,★★★★★,Watched,I think I’ll be able to identify my soulmate by the way they react to this movie. One of my favorites of all time. I never finish it without tears streaming down my face. I love this more than life itself.
giorhunting,★★★,Watched,best snooze fest
noircinephile,★★★★★,Watched,"this movie is simply beautiful, a masterpiece: it highlights the importance of cooperation among humans to overcome global challenges, such as climate change and the search for a new home for humanity; it raises existential questions about our place in the universe and the meaning of our existence, especially in relation to humanity's survival. this movie plays with the idea of destiny versus individuals' ability to choose their own path, as shown in the characters' difficult decisions. ""Interstellar"" also incorporates…"
lilivcst,★★★½,Watched,"não sei oq dizer, mas não achei aquelas coisas todas"
joshuagutzcar,★★★★★,Watched,got me sobbing so much
apologygril,★★★★,Watched,"I watched this almost a month ago but just couldn't find the right words to review it; and now it's got to the point where I've accumulated a massive backlog of unreviewed movies, so I figured it's about time I got around to writing this review. Although I still don't think I'll be able to do it justice.I'm no physics genius so half of this went over my head; however when the credits rolled I was crying and had…"
suri_ogasawara,★★★★★,Watched,"Mt bom, recomendo bastante"
flavisss2,★★★★★,Watched,Favorito da vida!
luc4sss_,★★★★★,Watched,Lloré
leon_2blea,★★★★½,Watched,Absolute Cinema ❤️
bendict11,★★★★★,Watched,""" MURPH """
nolight8,★★★½,Watched,There is no coming back in time.
krombopulos42,★★★★★,Watched,"Mcconaughey pulls off the emotional gut punch of popping outside for 45 minutes only to come back and find that your daughter has aged 20 years AND when attempting an impossible docking procedure with a spinning space station, replies with the line ""Its not impossible, its necessary"". Legendary status achieved for me. And how else would you show a crazy time gateway in the middle of a blackhole? Bookcase worked for me"
bastasendhelp,★★★★★,Watched,"Yeah, I can understand the hype now."
lpbur,★★★★★,Watched,"Es maravillosa. Una epopeya única. Emocionante y emotiva ( con algunas de las escenas que más me desgarran como espectador), una banda sonora que nos perfora y transmite perfectamente las sensaciones de esos personajes.El reparto esta perfecto, la historia es rompedora, los efectos visuales están a un nivel increible.Mi favorita de Nolan dentro de una docena de títulos estupendos que conforman su filmografía, y quizás una de mis 10 películas favoritas de siempre."
chez638,★★★★½,Watched,The wave gave me more anxiety than most horror films. But actually this was so good I get the hype around it!
rayynnh,★★★★★,Watched,Cinematic masterpiece
felipemarcelo,★★★★★,Watched,Filmaço da p$rra.
shiroearu,★★★★★,Watched,Esto es CINE.
shina000,★★★★★,Watched,listen to your damn daughter
anamikabitto,★★★★★,Watched,What to say about this!
kevtamine,★★★★,Watched,only watched the spanish version IN SPAIN but got the idea
yanisss_6,★★★★½,Watched,"Banger aérospatial. Immense classique, encore GG le gros Nolan."
sineadhealy,★★★,Watched,Sometimes I think life would be better if humans were a little less curious.
kthvant_,★★★★★,Watched,ABSOLUTE CINEMA
sneakyadianman2,★★★★★,Watched,If i was in this movie would have gotten my past self to put my life savings on red.
charlie_swain,★★★★★,Watched,Interstellar …
tthwte,★★★★½,Watched,"emocionante, louco e apaixonante"
ayang2157,★★★★★,Watched,Best movie of all time
gatesrates,★★★★½,Watched,Bit confusing but blew my mind
florencegmb,★★★★★,Watched,"FUCKING AWESOMEcinematography is unlike any other film i’ve seen, the storyline was a good pace and definitely doesn’t feel like 3 hours.Very cathartic"
esylee,★★★★★,Watched,This review may contain spoilers.I can handle the truth.Its a masterpiece so when you see this movies for the first time you say :oh wow i will never be the same guys
algaeperson,No rating,Watched,This is why execs just let Nolan do whatever the fuck he wants these days
fritas1,★★★★★,Watched,"Um filme pra assistir com a família, é isso"
mcatdamovies,★★★★★,Watched,will watch this a hundred more times. mcconaughey is the perfect humane nolan lead
emilyrardin,★★★★,Watched,Everything about this was amazing and such unexpected plot twists.
belzis,★★★★★,Watched,me faz questionar td a minha vida
juangarciab7,★★★★★,Watched,"This review may contain spoilers.I can handle the truth.Bueno, una de mis peliculas favoritas de siempre y no la veia desde hace mucho tiempo, ya era hora de revisitarla. Se viene comentario de texto.Bueno, para empezar antes que nada dejar claro que esta pelicula, junto conInception,The Prestige,Memento,Shutter Island, oSevenles tengo un cariño especial porque fueron las primeras que me hicieron flipar con el cine y las primeras con las que dije yo quiero seguir viendo cine, asique siempre tienen un valor…"
shmuel420,★★★★,Watched,So cool but so corny
archieussy,★★★★★,Watched,love ft ZACARI 💜
jolilley,★★★★,Watched,i want to go through a wormhole SO BAD
frommertanz,★★★★,Watched,"Quasi selber Plot wie die Pilotepisode von Star Trek Deep Space Nine, nur sind die Menschen hier selbst die Wurmlochwesen. Visuell natürlich beeindruckend und grandios besetzt. Synchron-Highlight: Jürgen Thormann als Professor Brand (gespielt von Michael Caine) - wer auch sonst."
sgtcookie18,★★★★★,Watched,"Falls jemand mitbekommt, dass der nochmal im Kino läuft, sagt bitte bescheid. Würde kinokarte dann als Finderlohn ausgeben."
sionasen,★★★★★,Watched,"had been hearing about how good this movie was but hadn’t watched it until now. Definitely very thought provoking and I really enjoyed the storyline. Other than the fact that the acting slayed, I think this movie was one of the first in a while to rlly intrigue me"
proudspacealien,★★★★★,Watched,"Obsessed with this movie. This is the only movie that I keep a running tally on the number of watches I've undertaken. When this movie returned in IMAX this year I was the first in line. I could write a novel on the music alone. The characters mean so much to me & the plot even more. The younger me HATED the ""love"" plotline but that version of me also had no idea how important it'd be to me. Such a beautiful film."
masterpiuce,★★★★★,Watched,"If you're curious about relativity, black holes, and scientifically accurate theories of time, I suggest you watch this. But, you must really focus on the storyline and dialogue to really understand it, so you may need to watch it several times. The movie quite long and slow for me, but if you enjoy the plot, you will find the story very good and worth watching. Sad, awe-inspiring, and even mind-blown moments are all there in this movie. This movie was…"
picheolin,★★★★★,Watched,this movie just subtracted 124 years from my life
jonasbs,★★★★★,Watched,Ciência ciência ciência
prlsmo,★★★★★,Watched,confusing but cool
stav_theo,★★★★★,Watched,All-time favourite movie I have  watched it 10 times and will never get over it better than Oppenheimer and better than any other movie I’ve ever watched.
santoshm,★★★★★,Watched,"my life goal is to master every detail of this movie so when anyone asks me to explain it, i will mansplain my knowledge"
isaiah_raya,★★★★★,Watched,Crazy how this is the my first time watching this movie in its entirety and much to Mr. Nolan’s dismay its on my phone aboard a plane. I still teared up multiple times and felt the claustrophobia and turbulence all the same (if not a bit more for some of those).
1747263,★★★★★,Watched,"Bellissimo film, molto emotivo, bello anche il momento, lo ricordo con molto piacere"
tylerbizz,★★★★½,Watched,Pshh I luv space
eclipseprv,★★★★★,Watched,"juste wow je pense que je n'ai pas besoin de rajouter qlqchose, si ce n'est à revoir"
laceyaddisen,★★★★★,Watched,OHHHHHH MYYYYYY GODDDDDDDDMY HEAD HURTS.
daniel_v_v,★★★★,Watched,jeg kan godt lide at tro på den ukuelige menneskelige ånd. jeg tænker romantiske tanker om hvad fremtidige generationer af menneskeheden kan opnå af teknologiske vidundere blandt stjernerne. den her film kradser min kløe for at se badass mennesker erobre universet.
aidandresang,★★★★,Watched,Made me so existential about life. Also really valid questions about the meaning of space travel and why we should be focusing on sustaining earth. Why are we trying to colonize other galaxies? The next frontier…
nicolemango,★★★★,Watched,Wow this is scary and sad
crimsontothe,★★★★★,Watched,I have nothing funny to say this is just peak
philippidgaf,★★★★★,Watched,🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
nitinsaini316,★★★★½,Watched,A near to masterpiece and a science fiction roller coaster ride . The last 20 minutes of the movie are just pure goosebumps .
iboshane,★★★★,Watched,it was prob nice idk i fell asleep like 30 mins in
hellm0uthh,★★★★★,Watched,🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟
giovannadias_28,★★★★★,Watched,"Não tem como não se emocionar com esse filme, toda a história e o plot foram muito bem escritos e desenvolvidos, o Nolan se superou tanto nessa obra que até a imagem do buraco negro que ele usou é utilizada como exemplo em universidades, simplesmente, surreal o talento desse cara e de toda a equipe envolvida nesse projeto. Ainda acho que esse filme deveria ter levado o Oscar, mas Oppenheimer veio aí pra fazer justiça pelo reconhecimento do trabalho do Nolan kkkkk"
col_mp4,★★★★½,Watched,finally watched so my friend stops shouting in my ear that this film is good.it's good
woongeurs,★★★★½,Watched,fucking bawled my eyes abis itu nelfon bapak gw nangis nangis keren ni felem kata gw
will_danaher,★★★★½,Watched,"- Tars is a legend- Was skeptical of Tars at first but I was not familiar with his game he was bad ass- Dr Mann being evil was not on my bingo card- Visually a stunning movie-Matthew McConaughey does a fantastic job in this role, and we really see his great acting whenever he must show how regretful and devastated he is about not being there for his kids and he really does a great job…"
quayequaye,★★★★★,Watched,wow i have no words that was fantastic
brickwallp,★★★★★,Watched,Interstellar ages like fine fifth dimensional wine in a time loop. Truly is better with every watch.
maaaaaattt,★★★★,Watched,"Ok fine it’s better than I thought, but it still takes itself too seriously and the self aggrandizing screenwriting sounds corny as fuck coming from Matthew McConaughey."
alvaro_149,★★★★★,Watched,5/5 por donde lo veas
diabolicalloki,★★★★★,Watched,"Some movies are just so good you can't even write reviews, and this is most certainly one of them.Can't help it but tear up at the end.Nolan is a master at crafting emotions, and this movie is the perfect example for it.If you don't like this movie, then I don't like you :)"
sloany_,★★★★★,Watched,movies are so awesome.
rayan_stark_,★★★★★,Watched,still picture perfect! <'3
sarahkatesynar,★★★★★,Watched,you were my ghost. i’m a fucking wreck.
bofei,★★★★★,Watched,Probably my most favorite movie of all time. Everything is on point from storyline to visuals. The self-sacrifice element makes me love and appreciate my family even more.
rc3sidoli,★★★★★,Watched,"I mean yeah, it’s just one of those movies. A classic that everyone knows is good, and it’s not til your sat there watching it feeling feelings that maybe someone 200 years will feel from now to realize how it earned that reputation. Music, visuals, story, it’s something you watch not knowing how the execution managed to match the ambition, but somehow Nolan did it. Matthew did strap Timothee down into the parent-child love driven plot cuck chair though."
cynthialeyva,★★★★★,Watched,"Mi frase favorita de la peli es “que el amor es la única cosa que podemos percibir y que trasciende dimensiones de tiempo y espacio”Pienso que definitivamente es una película majestuosa, y el soundtrack de fondo tmb lo es, me eriza la piel cada vez que la veo y me impresiona mucho como la realidad humana siempre estará enfocada en lo cuantificable que es el amor, en todo aquello que sabemos hacer y en todo lo que estamos por conocer."
goatrio,★★★★★,Watched,بنن بنن تين نن
definitivlyadam,★★★★,Watched,"Beautiful movie and cinematography ,plot ,soundtrack, sound design, and casting a few slight flaws very strong movie."
ice_movies,★★★★★,Watched,Been my favorite movie for so long I feel like I learn something new every time and the emotion always gets me
manuzrq,★★★★★,Watched,Cada segundo desse filme vale a pena (e são muitos)
lxbranco,★★★★★,Watched,"What a perfect film- a sci-fi odyssey like no other.Even though i’ve seen this movie a dozen times; I still feel every bit of tension, every bit of fear, but still i am amazed at how grand and exciting Nolan is able to capture space travel.The cast for this movie is perfect and absolutely stacked from head to toe.The ending always has me tearing up, god damn.Fuck Matt Damon."
bryce_jones,No rating,Watched,I don’t remember anything I watchedHELP 🆘‼️
sienaferrett,★★★★★,Watched,what if this was all batman lore
adamdabarp,★★★★½,Watched,Long as hell but it’s a great movie
sxfiank,★★★★★,Watched,Obra maestra.
haileyexists,★★★★★,Watched,drinking the koolaid on this one. how do people come up with this stuff
macyscott,★★★★★,Watched,how do i know that im going to cry 4 times and i always end up crying 5 or 7 or 15. also maybe this is the greatest movie ever?
sull3ngirll,★★★★★,Watched,Soooooo goooooddd
elyssapollio,★★★½,Watched,I never want to hear a film major tell me this is the greatest movie of our generation
geledekthor,★★★★★,Watched,left me speechless
waffl3ss,★★★★★,Watched,"Una obra maestra de película, pero en el momento que hablan sobre ciencia ya me perdi"
oliviashelton25,★★★★½,Watched,“Because my dad promised me” 🥲
prkzio,★★★★★,Watched,"Esse filme é MUITO bom. Eu chorei assistindo, é tão lindo e doloroso, mas ao mesmo tempo tão surpreendente e dá um boom na mente e no coração."
cassidyschultz,★★★★½,Watched,This would have been a full 5 stars if my home was not a hellscape to watch movies in
mateemire,★★★½,Watched,si con ese elenco hacias algo malo eras un burro nolan
anitajsso,★★★★★,Watched,"me dolió todo, me parece impresionante las escenas q tiene esta película 10/10"
pimpmunk,★★★★★,Watched,Best movie of all time
mola_mola_,★★★★★,Watched,"I was playing star rail through the entire movie. I think it was okay, I cant remember"
bumble_bee10,★★★★★,Watched,Matthew McConaughey space pirate
jacklewz,★★★★★,Watched,"I remember watching ""Interstellar"" when I was around seven years old, but it never really captured my interest back then. Recently, I decided to give it another chance, and this time, it made me emotional in ways I hadn't anticipated. Christopher Nolan's 2014 epic is not just a visual masterpiece, but a deeply moving exploration of love, sacrifice, and the human spirit.Staring stars Matthew McConaughey as Cooper, a former NASA pilot turned farmer in a dystopian future where Earth…"
jaygram,★★★★★,Watched,OBVRA DE ARTE
margerineclipse,★★★★★,Watched,“because my dad promised me” i can’t stop crying
mimitacir,★★★★★,Watched,ESPECTACULAR
marci_02,★★★★★,Watched,Choro só de lembrar
jakey_p00,★★★★★,Watched,Nolan cooked.
20perrya,★★★★★,Watched,When I watched this I had to take a break in the middle to comprehend it. Such an amazing movie and cried my eyes out.
thaayla,★★★★★,Watched,"ABSOLUTE CINEMAque sensação maravilhosa de assistir esse filme pela primeira vez, esse filme é surreal de bom, tão único, tão complexo e significativo. me deixou em crise existencial agora"
yeah_buddy,★★★★★,Watched,"Absolute masterpiece, one of the greatest sci-fi movies ever made. It's crazy how good this movie is."
auravictory,★★★★★,Watched,chorei o filme inteiro como a despaizada que sou
benyjrr,★★★★★,Watched,BUENÍSIMA
rdaniel23,★★★★★,Watched,so much depth
denissantos67,★★★★★,Watched,"a melhor ficção científica dos anos 2010, nolan é pai, avô, tio, visionário, e todo o resto"
u3ic,★★★★★,Watched,نشفت روحي من كثر الدموع
nicolevigneri,★★★★,Watched,ngl i was a little confused at first but it somewhat came full circle?anyways the acting was superior and it kept me on my toes
hcybrat,★★★★★,Watched,I watch this when i wanna cry for three hours
jeezus91210,★★★★★,Watched,"no matter how many times i rewatch this, this movie somehow still leaves me in awe. Nolan did such an amazing job."
nijisanji7,★★★★½,Watched,pura física
